GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Population","Percent","Percent of Children of Immigrants",0,"Baltimore-Columbia-Towson, MD",12580,.00431331,.00469856,.00490636,.00508059,.00555906,.00563364,.0054654,.0054027,.00577361,.00655142
"Population","Percent","Percent of Children of Immigrants",0,"Baton Rouge, LA",12940,.00050009,.00048816,.0005385,.00052558,.00051579,.00056905,.00073248,.00072407,.00061067,.00060559
"Population","Percent","Percent of Children of Immigrants",0,"Birmingham-Hoover, AL",13820,.00087516,.00079326,.00095734,.00122635,.00137544,.00136573,.00129592,.00111396,.00105479,.00115613
"Population","Percent","Percent of Children of Immigrants",0,"Boise City, ID",14260,.00125023,.00134245,.00155568,.00157673,.00149006,.00153645,.0015213,.00144815,.0014434,.0014314
"Population","Percent","Percent of Children of Immigrants",0,"Boston-Cambridge-Newton, MA-NH",14460,.01575295,.01537711,.01573625,.01582574,.01587483,.01587663,.01577643,.01631948,.01671015,.01684651
"Population","Percent","Percent of Children of Immigrants",0,"Bridgeport-Stamford-Norwalk, CT",14860,.00400075,.00408836,.00436786,.00432142,.00418362,.00426791,.00416948,.00412164,.00416366,.00434926
"Population","Percent","Percent of Children of Immigrants",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,.00100019,.00109836,.00095734,.00110955,.00126082,.00130883,.00123958,.00128105,.0014434,.00148646
"Population","Percent","Percent of Children of Immigrants",0,"Cape Coral-Fort Myers, FL",15980,.00200038,.00213571,.00215401,.00210231,.00212047,.00221931,.00208474,.00211652,.00227613,.00247743
"Population","Percent","Percent of Children of Immigrants",0,"Charleston-North Charleston, SC",16700,.00056261,.00067122,.000718,.00070077,.00091696,.00085358,.00067613,.00072407,.00088825,.00104603
"Population","Percent","Percent of Children of Immigrants",0,"Charlotte-Concord-Gastonia, NC-SC",16740,.00450084,.00469856,.00526536,.00601495,.00596023,.00580436,.00602885,.00629386,.00638428,.0063312
"Population","Percent","Percent of Children of Immigrants",0,"Chattanooga, TN-GA",16860,.00037507,.00036612,.00047867,.00058398,.00051579,.00051215,.0005071,.00044558,.00049964,.00060559
"Population","Percent","Percent of Children of Immigrants",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,.04538351,.04533805,.04439658,.04403177,.04315434,.04336198,.04327248,.04205191,.04097041,.04035455
"Population","Percent","Percent of Children of Immigrants",0,"Cincinnati, OH-KY-IN",17140,.00175033,.00176959,.00173518,.00198552,.00217778,.0020486,.0020284,.00222792,.00244268,.00220216
"Population","Percent","Percent of Children of Immigrants",0,"Cleveland-Elyria, OH",17460,.00231293,.00231877,.00233351,.0023943,.00223509,.00221931,.00214109,.00194943,.00199856,.00198194
"Population","Percent","Percent of Children of Immigrants",0,"Colorado Springs, CO",17820,.00131275,.00122041,.00125651,.00128475,.00131813,.00130883,.00123958,.00128105,.00133237,.00132129
"Population","Percent","Percent of Children of Immigrants",0,"Columbia, SC",17900,.00062512,.00079326,.00083767,.00087596,.00085965,.00079668,.00090151,.00089117,.00094376,.00093592
"Population","Percent","Percent of Children of Immigrants",0,"Columbus, OH",18140,.00256298,.00262387,.00287202,.00297828,.00326666,.00330052,.00349335,.00389885,.00388608,.00401894
"Population","Percent","Percent of Children of Immigrants",0,"Dallas-Fort Worth-Arlington, TX",19100,.03338126,.03417135,.03470352,.03626489,.03662101,.0363626,.03690557,.03687201,.03741742,.03798723
"Population","Percent","Percent of Children of Immigrants",0,"Dayton, OH",19380,.00043758,.00042714,.00059834,.00064237,.00074503,.00068287,.00056344,.00061268,.00066619,.0007157
"Population","Percent","Percent of Children of Immigrants",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,.00087516,.00097632,.00095734,.00087596,.00085965,.00091049,.00084517,.00077977,.00094376,.00099097
