GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Maryland","MD",.22592486,.24566926,.25728396,.27077442,.27575892,.27586061,.2877706,.28265926,.2666038,.26912865
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Massachusetts","MA",.23248728,.22738357,.22571841,.23319323,.2358169,.22209914,.20680532,.21597077,.21974044,.22444583
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Michigan","MI",.19023237,.20532262,.18691155,.19727974,.21681876,.22469029,.22730727,.21858269,.20688209,.20606056
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Minnesota","MN",.22258355,.24625918,.24828921,.25465128,.28437796,.27878881,.24108739,.2049271,.22978601,.23482786
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Mississippi","MS",.19040464,.22913501,.29004481,.38323039,.36605707,.33345392,.35525453,.31416836,.28902897,.2793006
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Missouri","MO",.19376792,.21904665,.25301117,.26345894,.27455202,.28855845,.27072534,.25145346,.26632467,.26214093
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Montana","MT",.08324568,.04861111,.01249361,.05425106,.12147384,.08991215,.05213758,.14621529,.12941889,.05210352
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Nebraska","NE",.36583647,.35624987,.28074604,.33816853,.39350411,.3375113,.30820304,.33313394,.35649139,.33585313
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Nevada","NV",.31321415,.30502734,.33331779,.36842731,.36964226,.35889083,.36522439,.34529862,.33397058,.34883457
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Hampshire","NH",.16033305,.18731262,.16383626,.18336731,.1919288,.19755448,.19624978,.1645589,.17045893,.15633987
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Jersey","NJ",.23394293,.22999737,.23550735,.24153654,.24992588,.25823277,.26290089,.26170328,.261516,.25149804
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Mexico","NM",.34754324,.34957176,.36401179,.38986444,.39348111,.4213669,.3862561,.34095755,.36606339,.36975646
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New York","NY",.25428575,.25216603,.24988902,.25019118,.26219684,.26411542,.25811979,.26362738,.25448954,.2494953
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"North Carolina","NC",.38543487,.40176433,.4140943,.41437584,.414985,.41972083,.42963174,.44853908,.44735745,.44223273
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"North Dakota","ND",.08340847,-97,-97,.15341946,.14442647,.07326979,.07763194,.15972841,.22,.11828271
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Ohio","OH",.19492535,.2029392,.18438782,.2022796,.21237464,.2168797,.22746219,.2216751,.21405402,.20596814
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Oklahoma","OK",.33105648,.36881191,.37727866,.38663355,.38121077,.35950518,.36750785,.41378877,.43111935,.39993861
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Oregon","OR",.35784405,.38536155,.37665471,.38785389,.3767862,.3630659,.35266072,.33729935,.35101271,.38977107
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Pennsylvania","PA",.20259792,.21314561,.20955367,.20430413,.20797478,.20441577,.19446796,.20940675,.23053823,.22325593
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Rhode island","RI",.29427269,.2770696,.27533305,.26168627,.25301066,.22637822,.24844953,.25490549,.25225633,.25693351
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"South Carolina","SC",.28406942,.30644038,.35969418,.36799324,.36846265,.38551828,.38338876,.37275988,.38224849,.37642553
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"South Dakota","SD",.17735133,.21801448,.15677404,.18443307,.23165587,.23075812,.24750805,.16272242,.16285676,.15405269
