GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Riverside-San Bernardino-Ontario, CA",40140,.5444854,.5471766,.5458829,.5503824,.5635691,.5581926,.5663435,.5836775,.59939873
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Rochester, NY",40380,.7141771,.6806362,.6866761,.7078847,.760639,.7504889,.6750888,.6436191,.71773714
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Sacramento--Roseville--Arden-Arcade, CA",40900,.5651124,.5590651,.5901203,.5806647,.5930473,.6297967,.6479927,.6778247,.67965639
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Salt Lake City, UT",41620,.5476664,.5231023,.4986121,.5182374,.5134256,.4992464,.5220434,.5359352,.55068982
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"San Antonio-New Braunfels, TX",41700,.5671001,.5942695,.6461078,.6168372,.5659961,.5937624,.6130241,.6117555,.58756846
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"San Diego-Carlsbad, CA",41740,.5643415,.5580517,.5773706,.5748832,.5713717,.580092,.5817676,.5911147,.60647917
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"San Francisco-Oakland-Hayward, CA",41860,.634963,.6427847,.6466821,.6447116,.6329695,.6219278,.6307198,.6442181,.63194126
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"San Jose-Sunnyvale-Santa Clara, CA",41940,.5840517,.5827772,.5779118,.5868798,.6119959,.6175293,.5989785,.5940008,.61534297
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Scranton--Wilkes-Barre--Hazleton, PA",42540,.5180022,.7225825,.6596994,.5793539,.4965707,.5418303,.5312139,.4193475,.46676379
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Seattle-Tacoma-Bellevue, WA",42660,.5853713,.5811037,.5949775,.5965894,.5914171,.6048669,.6146836,.6165025,.6219902
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Spokane-Spokane Valley, WA",44060,.537815,.5388715,.5592399,.5785391,.5946934,.6433247,.6993355,.6588748,.68031621
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Springfield, MA",44140,.5249295,.5553998,.6380638,.6250517,.603408,.6584826,.6039454,.6014369,.70525008
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"St. Louis, MO-IL",41180,.6227475,.6502832,.6054371,.6015408,.595362,.5785197,.5735561,.6384586,.71045864
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Stockton-Lodi, CA",44700,.5328868,.4967766,.4946881,.5335494,.5636051,.5561915,.5506175,.5466247,.56038201
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Syracuse, NY",45060,.6263264,.5905834,.6089857,.6148622,.6248955,.6440692,.6713867,.6465405,.6361047
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Tampa-St. Petersburg-Clearwater, FL",45300,.6318424,.6294348,.6303331,.6291732,.6475173,.6560925,.6494717,.6562408,.65620917
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Toledo, OH",45780,.7008598,.7434077,.605601,.6542857,.7212525,.7394859,.7800743,.7079771,.77692759
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Tucson, AZ",46060,.526569,.5201224,.5545042,.5530166,.541185,.5664921,.5857856,.6068633,.60940784
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Tulsa, OK",46140,.4881608,.4814707,.4571261,.4934472,.4503216,.4355141,.4286551,.4388338,.4612779
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Urban Honolulu, HI",46520,.7686164,.7533595,.7515407,.7648211,.7698137,.765592,.7568918,.7461762,.75255334
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,.7430217,.7393222,.7760584,.7736955,.781934,.7748042,.7264575,.6766714,.66265875
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,.5688689,.5729527,.5857995,.5855195,.5837061,.5831667,.6009176,.6216264,.60543281
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Wichita, KS",48620,.6366378,.6315574,.5856679,.5829371,.5450485,.498278,.4907176,.508752,.62309515
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Winston-Salem, NC",49180,.3257465,.3256469,.3190332,.3018443,.3342212,.3465815,.3325222,.3025465,.33730802
